"practice_code","practice_name","overall_achievement","stia007_numerator","stia007_denominator","stia014_numerator","stia014_denominator","stia015_numerator","stia015_denominator","prop_stia007","prop_stia014","prop_stia015","imd_rank","total_patients","patients_65_plus","patients_female","prop_65_plus","prop_female","stroke_prevalence","imd_quintile","listsize_quintile","prevalence_quintile","age65_quintile","female_quintile"
"P83021","Peel Gps",1,99,101,96,119,32,36,0.98019801980198,0.80672268907563,0.888888888888889,3156,10044,1568,4931,0.156113102349661,0.490939864595779,0.0100557546794106,5,3,2,2,2
"P83007","Radcliffe Medical Practice",1,112,114,86,135,31,39,0.982456140350877,0.637037037037037,0.794871794871795,1913,10907,1574,5490,0.144310992940314,0.503346474740992,0.0104520033006326,5,4,2,2,3
"P83006","Ramsbottom Medical Practice",0.967272727272727,95,97,68,87,43,51,0.979381443298969,0.781609195402299,0.843137254901961,20870,8165,1532,4105,0.187630128597673,0.50275566442131,0.0118799755052051,2,3,3,3,3
"P83603","Red Bank Group Practice",1,228,231,158,169,95,98,0.987012987012987,0.93491124260355,0.969387755102041,1913,9271,2208,4689,0.238162010570596,0.505770682774242,0.0249164059971956,5,3,5,4,4
"P83015","Ribblesdale Medical Practice",1,127,128,81,96,68,70,0.9921875,0.84375,0.971428571428571,3156,7419,1671,3706,0.225232511120097,0.499528238307049,0.0172529990564766,5,2,5,4,3
"Y02755","Rock Healthcare Limited",0.999090909090909,54,54,61,76,9,11,1,0.802631578947368,0.818181818181818,3704,10047,617,4828,0.0614113665770877,0.480541455160744,0.0053747387279785,5,3,1,1,1
"P83025","St Gabriel's Medical Centre",1,56,56,45,53,25,26,1,0.849056603773585,0.961538461538462,16299,8999,1117,4344,0.124124902766974,0.482720302255806,0.00622291365707301,2,3,1,2,1
"P83609","The Birches Medical Centre",1,40,40,24,30,14,16,1,0.8,0.875,24020,3896,623,1963,0.159907597535934,0.503850102669405,0.0102669404517454,1,1,2,2,3
"P83608","The Elms Medical Centre",1,82,83,50,67,47,52,0.987951807228916,0.746268656716418,0.903846153846154,15530,6396,1227,3240,0.191838649155722,0.50656660412758,0.0129768605378361,3,2,3,3,4
"P83004","The Uplands Medical Practice",1,53,54,42,52,23,24,0.981481481481482,0.807692307692308,0.958333333333333,10846,7860,1203,3889,0.153053435114504,0.494783715012723,0.00687022900763359,3,3,1,2,2
"P83012","Tower Family Healthcare",1,754,772,523,646,341,384,0.976683937823834,0.809597523219814,0.888020833333333,24050,48339,9559,24603,0.197749229400691,0.508967914106622,0.0159705413848032,1,5,4,3,4
"P83005","Townside Surgery",1,81,81,70,74,36,37,1,0.945945945945946,0.972972972972973,3156,4600,1113,2297,0.24195652173913,0.499347826086957,0.0176086956521739,5,1,5,4,3
"P83011","Unsworth Medical Centre",1,104,105,73,94,59,59,0.990476190476191,0.776595744680851,1,25369,7255,1614,3701,0.222467263955892,0.51013094417643,0.0144727773949001,1,2,4,4,4
"P83611","Walmersley Road Medical Practice",1,28,28,28,30,7,8,1,0.933333333333333,0.875,3989,4598,382,2035,0.0830795998260113,0.442583732057416,0.00608960417572858,5,1,1,1,1
"P83605","Whittaker Lane Med Centre",1,100,100,67,83,55,56,1,0.807228915662651,0.982142857142857,7401,7568,1209,3787,0.159751585623679,0.500396405919662,0.0132135306553911,4,2,3,2,3
"P83017","Woodbank Surgery",0.953636363636364,79,80,67,78,34,39,0.9875,0.858974358974359,0.871794871794872,9659,6943,1205,3464,0.173556099668731,0.498919775313265,0.011522396658505,4,2,3,3,3
"P81740","Adlington Medical Centre",1,141,142,119,161,59,65,0.992957746478873,0.739130434782609,0.907692307692308,28679,10953,2117,5240,0.19328037980462,0.478407742171095,0.0129644846160869,1,4,3,3,1
"P81692","Beeches Medical Centre",1,21,21,14,16,14,14,1,0.875,1,29726,2054,580,996,0.282375851996105,0.484907497565725,0.0102239532619279,1,1,2,5,1
"Y02466","Buckshaw Village Health Centre",1,80,81,55,69,34,35,0.987654320987654,0.797101449275362,0.971428571428571,22168,12201,926,6124,0.0758954184083272,0.501926071633473,0.00663880009835259,2,4,1,1,3
"P81117","Central Park Surgery",1,52,53,44,55,21,23,0.981132075471698,0.8,0.91304347826087,11779,5522,1025,2791,0.18562115175661,0.505432814197754,0.00959797174936617,3,2,2,3,3
"P81180","Clayton Brook Surgery",0.825454545454545,54,55,41,47,19,22,0.981818181818182,0.872340425531915,0.863636363636364,16602,3458,646,1722,0.186813186813187,0.497975708502024,0.0159051474840949,2,1,4,3,2
